,filed_id,record,accident_address,city,area,longitude,latitude
231956,1656551,A000923635,Carrera 83 Calle 96,Medellin,Perímetro Urbano Medellín,,
233385,1657277,A000924607,Calle 5 Carrera 28,Medellin,Perímetro Urbano Medellín,,
235088,1658377,A000925423,Calle 9 Carrera 76,Medellin,Perímetro Urbano Medellín,,
235913,1658781,A000925950,Carrera 42 Calle 47,Medellin,Perímetro Urbano Medellín,,
237523,1659910,A000927272,Carrera 99,Medellin,Perímetro Urbano Medellín,,
239961,1661493,A000928636,Carrera 29 Calle 4,Medellin,Perímetro Urbano Medellín,,
240077,1661396,A000928397,Carrera 10 Calle 10,Medellin,Perímetro Urbano Medellín,,
244126,1664045,A000931101,Carrera 6 Calle 6,Medellin,Perímetro Urbano Medellín,,
244363,1664010,A000930996,Carrera 99,Medellin,Perímetro Urbano Medellín,,
246288,1665099,A000932230,Calle 49 Carrera 58,Medellin,Perímetro Urbano Medellín,,
247455,1665951,A000933123,Carrera 10 Calle 22 A,Medellín,Perímetro Urbano Medellín,,
248113,1666816,A000934187,Calle 18 Carrera 112,Medellín,Perímetro Urbano Medellín,,
248644,1667365,A000993077,Calle 92 Carrera 15,Medellín,Perímetro Urbano Medellín,,
248928,1667619,A000993451,Calle 45 Carrera 24,Medellín,Perímetro Urbano Medellín,,
250878,1669602,A000995374,Carrera 99,Medellín,Perímetro Urbano Medellín,,
251370,1670878,A000996817,Calle 52 Carrera 30,Medellín,Perímetro Urbano Medellín,,
252674,1671577,A000997140,Carrera 1 Calle 2,Medellín,Perímetro Urbano Medellín,,
253330,1672175,A000997974,Carrera 99,Medellín,Perímetro Urbano Medellín,,
253806,1672676,A000998441,Calle 12 Carrera 23,Medellín,Perímetro Urbano Medellín,,
256026,1675067,A001000629,Carrera 1 Calle 1,Medellín,Perímetro Urbano Medellín,,
259556,1678758,A001004494,Calle9,Medellín,Perímetro Urbano Medellín,,
260410,1679688,A001005482,Carrera 52 Diagonal 28,Medellín,Perímetro Urbano Medellín,,
261675,1680911,A001006581,Calle 1 Carrera 28,Medellín,Perímetro Urbano Medellín,,
